Business Name,Last Updated,Address,Materials Accepted
GreenCanDo.org,N/A,"(888) 340-1121, P.O. Box 324, Massapequa Park, NY 11762","Cell Phones, Digital Cameras, Inkjet Cartridges, Laptop Computers, MP3 Players, Tablets, Toner Cartridges"
GreenCells Cell Phone Recycling Program,N/A,"(630) 358-9559, 1701 Quincy Ave, Naperville, IL 60540",Cell Phones
GreenDisk,N/A,"(800) 305-3475, Issaquah, WA 98029","Audio Equipment, Blu-Ray Players, Cables, Cassette Players, Cassette Tapes, CD Players, CDs"
GreenPhone Recycling Program,N/A,"(310) 294-5400, Boulder, CO 80301",Cell Phones
GreenTextbooks.org Recycling Program,N/A,"(801) 523-8069, 1412 Plata Way, Sandy, UT 84093","CDs, Paperback Books"
Guzu.com,N/A,"(631) 865-0022, 71 E Industry Ct, Deer Park, NY 11729","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, CRT Televisions"
"Hellocycle, Inc.",N/A,"207-423-8260, 18 Morin St, Biddeford, ME 04005","CDs, Cell Phones, Inkjet Cartridges, MP3 Players, Alkaline Batteries, CFLs, Lithium-ion Batteries"
Hewlett-Packard Planet Partners Recycling Program,N/A,"(888) 485-1849, Palo Alto, CA 94304","Cell Phones, CRT Computer Monitors, Desktop Computers, Digital Cameras, Inkjet Cartridges, LCD Computer Monitors, MP3 Players"
HP Inc.,N/A,"800.340.2445, 1501 Page Mill Road, Palo Alto, CA 94304","Inkjet Cartridges, Toner Cartridges"
Ink Technologies,N/A,"(866) 313-2879, 7600 McEwen Road, Dayton, OH 45459","Inkjet Cartridges, Toner Cartridges"
Inkpal.com,N/A,"(877) 464-6572, 14 Palm Harbor Village Way W, Palm Coast, FL 32137","Inkjet Cartridges, Toner Cartridges"
InkRecycling.org,N/A,"(818) 338-5608, 3943 Poppyseed Pl, Calabasas, CA 91302",Inkjet Cartridges
InterConnection Computer Reuse and Learning Center,N/A,"(206) 633-1517, 3415 Stone Way North, Seattle, WA 98103","Cell Phones, Desktop Computers, Laptop Computers, Tablets"
iRecycle Kit by Battery Solutions,N/A,"(800) 852-8127, Howell, MI 48843","Cell Phones, Digital Cameras, GPS Systems, MP3 Players, Pagers, Tablets, Two-Way Radios"
iReTron,N/A,"(408) 915-9475, 15466 Los Gatos Boulevard, Los Gatos, CA 95032","Calculators, Cell Phones, Digital Cameras, Game Consoles, GPS Systems, Laptop Computers, MP3 Players"
JACO Product Recovery Services,N/A,"1-800-420-0235, 451 West 69th Street, Loveland, CO 80538","Cell Phones, Desktop Computers, Electronic Servers, Office Machines, Tablets"
"Keebloo, LLC",N/A,"(855) 533-2566, 140 58th Street, Bldg. B, Unit 2G, Brooklyn, NY 11220","Cell Phone Accessories, Cell Phones, Desktop Computers, Digital Cameras, Game Consoles, Laptop Computers, MP3 Players"
KruseCom,N/A,"4403184290, 374 N Haverhill Rd Suite 700, West Palm Beach, FL 33415","Cell Phones, Computer Peripherals - External, Computer Peripherals - Internal, Desktop Computers, Game Consoles, Laptop Computers, LCD Computer Monitors"
"Lampmaster Recycling Services, Inc. Mail-in Program",N/A,"(888)-470-4835, Cincinnati, OH 45216","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
LampRecycling.com,N/A,"(800) 909-9709, 2200 Ogden Ave #100, Lisle, IL 60532","Desktop Computers, Floppy Disks, LCD Computer Monitors, LCD Televisions, Office Machines, Telephones, Alkaline Batteries"
Laser Save,N/A,"(732) 431-3339, 843 State Route 33 #11, Freehold, NJ 07728","Inkjet Cartridges, Toner Cartridges"
Levi Wilson,N/A,"7378000068, 615 Counts Estates Dr, Dripping Springs, TX 78620","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, Computer Peripherals - Internal, Digital Cameras, Floppy Disks, Game Consoles"
LifeCell Project,N/A,"(951) 522-3221, 14 Breeze Ave, Venice, CA 90291","Cell Phones, MP3 Players"
Lion Recycling,N/A,"(888) 802-8207, 1684 Decoto Rd, Union City, CA 94587","Cell Phones, Lithium-ion Batteries"
Lions In Sight Recycling Program,N/A,"(707) 648-2306, 1404 Lemon St, Vallejo, CA 94590","Cell Phones, Inkjet Cartridges, Eyeglasses"
Mac of All Trades,N/A,"(813) 925-1181, 14474 Carlson Cir, Tampa, FL 33626","Computer Peripherals - External, Desktop Computers, Laptop Computers, LCD Computer Monitors, Tablets"
MaxBack,N/A,"(814) 464-1805, Erie, PA 16507","Cell Phones, MP3 Players, Tablets"
National Coalition Against Domestic Violence Cell Phone Donation Program,N/A,"(303) 839-1852, Dexter, MI 48130",Cell Phones
NextGen Collections,N/A,"(585) 645-2451, Rochester, NY 14604",Toner Cartridges
Nextworth Electronics Recycling,N/A,"(978) 374-6398, Lawrence, MA 01840","Cell Phones, Digital Cameras, Game Consoles, GPS Systems, MP3 Players, VCRs"
Ohio Cell Phone Donation & Recycling,N/A,"(330) 202-7668, 1201 E Bowman St, Wooster, OH 44691","Cell Phones, Laptop Computers"
Panasonic Toughbook Laptop Recycling Program,N/A,"(800) 211-7262, Secaucus, NJ 07094",Laptop Computers
Planet Aid - Give Back Box,N/A,"6730 Santa Barbara Ct, Elkridge, MD 21075","Home Electronics, Clothing, Hardcover Books, Paperback Books, Shoes"
